Author,Company,Download,Title,Before Parsing
Hajime Kanzaki,"""ITU-R Liaison Group""",https://mentor.ieee.org/802.16/dcn/13/16-13-0068-01-Gdoc-itu-r-liaison-group-report-to-session-84-closing-plenary.pptx,ITU-R Liaison Group Report to Session #84 Closing Plenary,Hajime Kanzaki (ITU-R Liaison Group)
Roger Marks,"""IEEE 802.16 WG""",https://mentor.ieee.org/802.16/dcn/13/16-13-0056-04-Gcon-proposed-cont-to-itu-r-wp-5d-update-of-wirelessman-advanced-rit-of-rec-itu-r-m-2012-meeting-y-2.zip,Proposed Cont. to ITU-R WP 5D- Update of WirelessMAN-Advanced RIT of Rec. ITU-R M.2012 (Meeting Y+2),Roger Marks (IEEE 802.16 WG)
Hsieh,"""ITRI""",https://mentor.ieee.org/802.16/dcn/13/16-13-0076-02-000r-p802-16r-closing-report-orlando.pptx,p802.16r-closing-report-Orlando,Hsieh (ITRI)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/13/16-13-0067-02-Gcon-proposed-response-to-mef-statement-of-2013-01-31.docx,Proposed Response to MEF Statement of 2013-01-31,Roger Marks (EthAirNet Associates)
Hsieh,"""ITRI""",https://mentor.ieee.org/802.16/dcn/13/16-13-0076-01-000r-p802-16r-closing-report-orlando.pptx,p802.16r-closing-report-Orlando,Hsieh (ITRI)
Hsieh,"""ITRI""",https://mentor.ieee.org/802.16/dcn/13/16-13-0076-00-000r-p802-16r-closing-report-orlando.pptx,p802.16r-closing-report-Orlando,Hsieh (ITRI)
Roger Marks,"""IEEE 802.16 WG""",https://mentor.ieee.org/802.16/dcn/13/16-13-0075-00-000r-p802-16-3-report-from-session-84.pptx,P802.16.3 Report from Session #84,Roger Marks (IEEE 802.16 WG)
Hsieh,"""ITRI""",https://mentor.ieee.org/802.16/dcn/13/16-13-0074-00-000r-ieee-p802-16r-call-for-contributions-toward-session-85.docx,IEEE P802.16r Call for Contributions toward Session #85,Hsieh (ITRI)
Roger Marks,"""Consensii LLC; Mobile Pulse, Inc.""",https://mentor.ieee.org/802.16/dcn/13/16-13-0061-01-03R0-proposed-statement-to-bbf-response-to-liaison-of-8-march-on-performance-measurements-architecture.docx,Proposed statement to BBF: Response to liaison of 8 March on Performance Measurements Architecture,"Roger Marks (Consensii LLC; Mobile Pulse, Inc.)"
Ching-Tarng Hsieh,"""P802.16r Project""",https://mentor.ieee.org/802.16/dcn/13/16-13-0073-00-000r-ieee-802-16r-architecture-and-requirements-for-small-cell-backhaul.doc,IEEE 802.16r Architecture and Requirements for Small Cell Backhaul,Ching-Tarng Hsieh (P802.16r Project)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0071-00-000q-p802-16q-closing-report-for-session-84.ppt,P802.16q Closing Report for Session#84,Harry Bims (P802.16q Chair)
Harry Bims,"""Acting PPC Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0070-00-Gdoc-ppc-closing-report-for-session-84.pptx,PPC Closing Report for Session #84,Harry Bims (Acting PPC Chair)
Harry Bims,"""Acting PPC Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0069-00-Gdoc-ppc-minutes-from-session-84.doc,PPC Minutes from Session #84,Harry Bims (Acting PPC Chair)
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/13/16-13-0067-01-Gcon-proposed-response-to-mef-statement-of-2013-01-31.docx,Proposed Response to MEF Statement of 2013-01-31,Roger Marks (EthAirNet Associates)
Hajime Kanzaki,"""ITU-R Liaison Group""",https://mentor.ieee.org/802.16/dcn/13/16-13-0068-00-Gdoc-itu-r-liaison-group-report-to-session-84-closing-plenary.pptx,ITU-R Liaison Group Report to Session #84 Closing Plenary,Hajime Kanzaki (ITU-R Liaison Group)
ITU-R Liaison Group,no company,https://mentor.ieee.org/802.16/dcn/12/16-12-0686-01-Gdoc-ieee-802-16-itu-r-liaison-group-workplan.xls,IEEE 802.16 ITU-R Liaison Group Workplan,ITU-R Liaison Group
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/13/16-13-0067-00-Gcon-proposed-response-to-mef-statement-of-2013-01-31.docx,Proposed Response to MEF Statement of 2013-01-31,Roger Marks (EthAirNet Associates)
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/13/16-13-0066-00-Gcon-treasurer-report-march-2013.pptx,Treasurer Report - March 2013,Tim Godfrey (EPRI)
Hajime Kanzaki,"""ITU-R Liaison Group""",https://mentor.ieee.org/802.16/dcn/13/16-13-0053-02-Gcon-proposed-ls-to-itu-r-wp-5d-update-toward-rec-itu-r-m-1457-12-meeting-x-notification.docx,Proposed LS to ITU-R WP 5D: Update toward Rec. ITU-R M.1457-12 (Meeting X Notification),Hajime Kanzaki (ITU-R Liaison Group)
Hajime Kanzaki,"""ITU-R Liaison Group""",https://mentor.ieee.org/802.16/dcn/13/16-13-0056-03-Gcon-proposed-cont-to-itu-r-wp-5d-update-of-wirelessman-advanced-rit-of-rec-itu-r-m-2012-meeting-y-2.zip,Proposed Cont. to ITU-R WP 5D- Update of WirelessMAN-Advanced RIT of Rec. ITU-R M.2012 (Meeting Y+2),Hajime Kanzaki (ITU-R Liaison Group)
Hajime Kanzaki,"""ITU-R Liaison Group""",https://mentor.ieee.org/802.16/dcn/13/16-13-0056-02-Gcon-proposed-cont-to-itu-r-wp-5d-update-of-wirelessman-advanced-rit-of-rec-itu-r-m-2012-meeting-y-2.zip,Proposed Cont. to ITU-R WP 5D- Update of WirelessMAN-Advanced RIT of Rec. ITU-R M.2012 (Meeting Y+2),Hajime Kanzaki (ITU-R Liaison Group)
Roger Marks,"""Consensii LLC""",https://mentor.ieee.org/802.16/dcn/13/16-13-0056-01-Gcon-proposed-cont-to-itu-r-wp-5d-update-of-wirelessman-advanced-rit-of-rec-itu-r-m-2012-meeting-y-2.zip,Proposed Cont. to ITU-R WP 5D- Update of WirelessMAN-Advanced RIT of Rec. ITU-R M.2012 (Meeting Y+2),Roger Marks (Consensii LLC)
David Castelow;Andrew Logothetis;Marlon Persaud,"""Airspan Communications Ltd""",https://mentor.ieee.org/802.16/dcn/13/16-13-0050-01-000r-extension-of-ofdma-physical-layer-mode-to-support-256-1024-point-qam-constellations-for-high-capac.pdf,Extension of OFDMA Physical layer mode to support 256 & 1024 point QAM constellations for high capac,"David Castelow, Andrew Logothetis, Marlon Persaud (Airspan Communications Ltd)"
David Castelow,"""Airspan Communications Ltd""",https://mentor.ieee.org/802.16/dcn/13/16-13-0065-00-000r-low-latency-requirements-for-scb.pdf,Low Latency Requirements for SCB,David Castelow (Airspan Communications Ltd)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0064-00-000q-ieee-p802-16q-call-for-contributions-toward-session-85.docx,IEEE P802.16q Call for Contributions toward Session #85,Harry Bims (P802.16q Chair)
Harry Bims,"""P802.16q Chair""",https://mentor.ieee.org/802.16/dcn/13/16-13-0063-00-000q-ieee-p802-16q-closing-report-for-session-84.ppt,IEEE P802.16q Closing Report for Session #84,Harry Bims (P802.16q Chair)
