Harry Bims,"""WG Vice-Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0025-02-00R4-wg-letter-ballot-41-editor-dispositions-and-consolidated-comments.xlsx
Ron Murias,"""Maint TG Editor""",https://mentor.ieee.org/802.16/dcn/17/16-17-0032-01-000s-maintenance-tg-lb-41-comment-resolutions.xlsx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0026-03-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0026-02-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx
Harry Bims,"""WG Vice Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0030-01-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-109.doc
Harry Bims,"""Maint TG Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0032-00-000s-maintenance-tg-lb-41-comment-resolutions.xlsx
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0031-01-000s-gridman-meeting-presentation-may-2017.pptx
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0026-01-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0031-00-000s-gridman-meeting-presentation-may-2017.pptx
Harry Bims,"""WG Vice Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0030-00-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-109.doc
Harry Bims,"""Maint TG Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0029-01-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-109.pptx
Harry Bims,"""WG Vice-Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0025-01-00R4-wg-letter-ballot-41-editor-dispositions-and-consolidated-comments.xlsx
Harry Bims,"""Maint TG Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0029-00-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-109.pptx
Harry Bims,"""Acting Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0028-00-Gdoc-eee-802-16-administrative-report-for-session-109.pdf
Harry Bims,"""WG Acting Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0027-00-Gdoc-ieee-802-16-status-report-session-108.pdf
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0026-00-000s-p802-16s-d2-sponsor-ballot-comments-with-editor-dispositions.xlsx
Harry Bims,"""WG Vice-Chair""",https://mentor.ieee.org/802.16/dcn/17/16-17-0025-00-00R4-wg-letter-ballot-41-editor-dispositions-and-consolidated-comments.xlsx
Ron Murias,"""Murias Consulting, Inc.""",https://mentor.ieee.org/802.16/dcn/17/16-17-0024-00-00R4-wg-letter-ballot-41-editor-dispositions.xlsx
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0023-00-000s-p802-16s-d2-sponsor-ballot-comments.xlsx
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0022-02-000s-proposed-p802-16s-amendment-extension-request-to-revcom.pptx
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0022-01-000s-proposed-p802-16s-amendment-extension-request-to-revcom.pptx
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0022-00-000s-proposed-p802-16s-amendment-extension-request-to-revcom.pptx
Harry Bims,"""Bims Laboratories, Inc.""",https://mentor.ieee.org/802.16/dcn/17/16-17-0021-00-00R4-late-comments-for-rev4-d1-of-ieee-802-16.xls
Doug Gray,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0017-02-000s-representative-channel-performance-for-802-16s.docx
Roger Marks,"""EthAirNet Associates""",https://mentor.ieee.org/802.16/dcn/17/16-17-0020-00-00R4-comments-wg-letter-ballot-41.xlsx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/17/16-17-0018-01-Gdoc-p802-16s-to-sponsor-ballot-conditional-approval-request.pdf
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0019-00-Gcon-treasurer-report-march-2017.pptx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/17/16-17-0018-00-Gdoc-p802-16s-to-sponsor-ballot-conditional-approval-request.pdf
Tim Godfrey,"""EPRI""",https://mentor.ieee.org/802.16/dcn/17/16-17-0015-01-000s-march-2017-meeting-presentation.pptx
