17-Jul-2017 ET,2017,40,1,000s: P802.16s,Spreadsheet for estimating channel performance,Doug Gray (EPRI),17-Jul-2017 12:01:50 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0040-01-000s-spreadsheet-for-estimating-channel-performance.xlsx,https://mentor.ieee.org/802.16/documents
13-Jul-2017 ET,2017,34,1,Gdoc: Group Document,P802.16Rev4 to Sponsor Ballot: Conditional Approval Request,Roger Marks (EthAirNet Associates),13-Jul-2017 03:46:43 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0034-01-Gdoc-p802-16rev4-to-sponsor-ballot-conditional-approval-request.pptx,https://mentor.ieee.org/802.16/documents
13-Jul-2017 ET,2017,35,2,00R4: P802.16 Rev 4,Comments: WG Letter Ballot Recirc #41a,Ron Murias (Maint TG Editor),13-Jul-2017 03:19:33 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0035-02-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,https://mentor.ieee.org/802.16/documents
13-Jul-2017 ET,2017,30,2,Gdoc: Group Document,IEEE 802.16 Working Group and GRIDMAN Task Group Minutes of Session #109,Harry Bims (WG Vice Chair),13-Jul-2017 02:20:48 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0030-02-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-109.doc,https://mentor.ieee.org/802.16/documents
12-Jul-2017 ET,2017,12,1,Gdoc: Group Document,IEEE 802.16 Administrative Report,Roger Marks (EthAirNet Associates),12-Jul-2017 03:01:03 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0012-01-Gdoc-ieee-802-16-administrative-report.pdf,https://mentor.ieee.org/802.16/documents
11-Jul-2017 ET,2017,37,1,000s: P802.16s,GRIDMAN Meeting Presentation - July 2017,Tim Godfrey (EPRI),11-Jul-2017 08:35:26 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0037-01-000s-gridman-meeting-presentation-july-2017.pptx,https://mentor.ieee.org/802.16/documents
11-Jul-2017 ET,2017,6,2,000s: P802.16s,802-16s-approved-system-description-document-sdd,GRIDMAN Task Group,11-Jul-2017 08:31:48 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0006-02-000s-802-16s-approved-system-description-document-sdd.docx,https://mentor.ieee.org/802.16/documents
11-Jul-2017 ET,2017,40,0,000s: P802.16s,Spreadsheet for estimating channel performance,EPRI,11-Jul-2017 08:25:34 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0040-00-000s-spreadsheet-for-estimating-channel-performance.xlsx,https://mentor.ieee.org/802.16/documents
11-Jul-2017 ET,2017,39,0,Gdoc: Group Document,Working Group Minutes for Session #110,Harry Bims (WG Secretary),13-Jul-2017 03:49:31 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0039-00-Gdoc-working-group-minutes-for-session-110.doc,https://mentor.ieee.org/802.16/documents
11-Jul-2017 ET,2017,38,0,Gcon: Group Contribution,Treasurer Report - July 2017,Tim Godfrey (EPRI),11-Jul-2017 07:25:52 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0038-00-Gcon-treasurer-report-july-2017.pptx,https://mentor.ieee.org/802.16/documents
11-Jul-2017 ET,2017,36,1,00R4: P802.16 Rev 4,IEEE 802.16 Maintenance Task Group Opening Report for Session #110,Maint TG Chair,11-Jul-2017 05:40:17 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0036-01-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-110.pptx,https://mentor.ieee.org/802.16/documents
11-Jul-2017 ET,2017,16,1,Gdoc: Group Document,Working Group Minutes for Session #108,Harry Bims (WG Secretary),12-Jul-2017 18:32:29 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0016-01-Gdoc-working-group-minutes-for-session-108.doc,https://mentor.ieee.org/802.16/documents
11-Jul-2017 ET,2017,37,0,000s: P802.16s,GRIDMAN Meeting Presentation - July 2017,Tim Godfrey (EPRI),11-Jul-2017 04:46:06 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0037-00-000s-gridman-meeting-presentation-july-2017.pptx,https://mentor.ieee.org/802.16/documents
11-Jul-2017 ET,2017,36,0,00R4: P802.16 Rev 4,IEEE 802.16 Maintenance Task Group Opening Report for Session #110,Maint TG Chair,11-Jul-2017 02:56:55 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0036-00-00R4-ieee-802-16-maintenance-task-group-opening-report-for-session-110.pptx,https://mentor.ieee.org/802.16/documents
09-Jul-2017 ET,2017,35,1,00R4: P802.16 Rev 4,Comments: WG Letter Ballot Recirc #41a,Ron Murias (Maint TG Editor),09-Jul-2017 19:32:40 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0035-01-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,https://mentor.ieee.org/802.16/documents
09-Jul-2017 ET,2017,35,0,00R4: P802.16 Rev 4,Comments: WG Letter Ballot Recirc #41a,Roger Marks (EthAirNet Associates),09-Jul-2017 17:41:55 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0035-00-00R4-comments-wg-letter-ballot-recirc-41a.xlsx,https://mentor.ieee.org/802.16/documents
